"Canada","99","99","99","84","84","84","99","99","99","84","84","84","99","99","99","84","84","84","99","99","99","84","84","84","99","99","99","84","84","83","99","99","99","83","83","83","99","99","99","83","83","82","99","99","99","83","83","82","99","99","99","82","82","82","99","99","99","82","82","81","99","99","99","81","82","81","99","100","99","81","81","80","100","100","99","81","81","80","100","100","99","80","80","80","100","100","99","80","80","79","100","100","99","80","80","79","100","100","99","79","79","79","100","100","99","79","79","78","100","100","99","78","78","78","100","100","99","78","78","77","100","100","99","77","78","77","100","100","99","77","78","77","100","100","99","77","78","77"
"Central African Republic","14","25","6","13","23","6","14","25","6","13","23","6","14","25","6","14","24","6","14","26","6","14","25","6","15","27","6","14","26","6","15","28","7","15","26","7","16","28","7","15","27","7","16","29","7","15","28","7","16","30","7","16","28","7","17","31","7","16","29","7","17","32","8","16","30","8","18","33","8","17","31","8","18","33","8","17","31","8","18","34","8","18","32","8","19","35","8","18","33","8","19","36","9","18","34","9","20","37","9","19","35","9","20","38","9","19","35","9","20","38","9","19","36","9","20","39","9","20","36","9","21","39","9","20","36","9","21","39","9","20","37","9","21","39","9","20","37","9"
"Chad","13","39","5","11","32","4","13","39","5","11","32","4","13","38","5","11","31","4","12","37","5","10","30","4","12","36","5","10","29","4","12","35","5","10","29","5","12","34","5","10","28","5","11","33","5","10","27","5","11","32","5","10","26","5","11","31","5","9","25","5","11","30","5","9","25","5","11","29","6","9","24","5","11","28","6","9","23","5","10","27","6","9","22","5","10","26","6","9","22","5","10","26","6","9","21","5","10","26","6","9","21","5","10","25","6","9","20","6","10","25","6","9","20","6","10","24","6","9","20","6","10","24","6","9","19","6","10","23","6","9","19","6","10","23","6","8","18","6"
"Chile","100","100","100","95","99","","100","100","100","95","99","","100","100","100","95","99","","100","100","100","95","99","","100","100","100","95","99","","100","100","100","95","99","","100","100","99","95","99","","99","100","97","93","97","","99","99","95","91","95","","98","99","93","89","93","","98","99","91","87","90","","98","99","89","85","88","","97","99","88","82","86","","97","98","86","80","84","","96","98","84","78","82","","96","98","82","76","79","","95","98","80","74","77","","95","97","78","72","75","","94","97","76","70","73","","94","97","74","68","71","","93","97","72","67","71","","93","96","70","67","70","","92","96","68","67","70",""
"China","96","98","93","67","85","37","94","97","91","66","84","35","93","96","88","65","84","34","91","95","86","63","83","33","90","94","84","60","80","30","88","93","81","56","77","28","86","92","79","53","73","26","85","91","77","49","70","24","83","90","74","46","67","22","81","89","72","43","63","20","79","88","70","40","60","19","78","87","68","37","57","17","76","87","65","34","53","15","74","86","63","31","50","14","72","85","61","29","47","12","70","84","59","26","44","11","68","83","56","23","41","10","66","82","54","21","38","9","64","81","52","19","34","8","62","80","50","17","31","7","60","79","47","14","28","6","58","79","45","14","28","5","57","78","45","13","28","5"
"Colombia","95","97","86","18","17","","94","96","84","18","17","","93","95","83","18","17","","92","95","82","18","16","","91","94","81","18","16","","90","93","79","18","16","","90","92","78","18","16","","89","92","77","17","16","","88","91","76","17","16","","87","90","74","17","16","","86","90","73","17","16","","85","89","72","17","16","","84","88","71","17","15","","83","87","70","17","15","","83","87","69","16","15","","82","86","67","16","15","","81","85","66","16","15","","80","85","65","16","15","","79","84","64","16","15","","78","83","63","16","15","","77","82","62","16","14","","76","82","61","15","14","","75","81","60","15","14",""
"Comoros","","","","","","","","","","","","","","","","","","","36","45","32","","","","36","45","32","","","","36","45","32","","","","36","45","32","","","","36","45","32","","","","35","44","31","","","","35","45","31","","","","35","45","31","","","","35","45","30","","","","34","45","30","","","","34","46","30","","","","34","46","29","","","","33","46","29","","","","33","46","28","","","","33","46","28","","","","32","46","27","","","","32","46","26","","","","31","45","26","","","","30","45","25","","","","29","44","23","","",""
"Congo","","","","","","","21","27","6","","","","20","27","6","","","","20","27","6","","","","20","27","6","","","","20","27","6","","","","20","26","6","","","","19","26","6","","","","18","25","6","","","","18","24","6","","","","17","23","6","","","","17","23","6","","","","16","22","6","","","","16","21","6","","","","15","21","6","","","","15","20","6","","","","14","19","6","","","","14","18","6","","","","13","18","6","","","","13","17","6","","","","12","17","6","","","","12","16","6","","","","12","16","6","","",""
"Cook Islands","85","","","","","","85","","","","","","85","","","","","","85","","","","","","85","","","","","","85","","","","","","85","","","","","","85","","","","","","85","","","","","","84","","","","","","84","","","","","","84","","","","","","84","","","","","","84","","","","","","83","","","","","","83","","","","","","83","","","","","","83","","","","","","83","","","","","","82","","","","","","82","","","","","","82","","","","","","82","","","","",""
"Costa Rica","98","99","97","25","23","36","98","98","97","25","23","35","98","98","97","25","23","35","98","98","96","25","22","35","98","98","96","25","22","35","97","98","95","25","22","35","97","98","95","24","21","35","97","98","94","24","21","35","97","98","94","24","21","35","97","98","94","24","20","35","96","98","93","24","20","35","96","97","93","24","20","35","96","97","92","24","19","35","96","97","92","24","19","35","95","97","91","24","19","35","95","97","91","24","19","35","95","97","91","24","19","35","95","97","91","24","19","35","95","97","90","24","19","35","94","97","90","24","18","35","94","97","90","25","18","35","94","97","90","25","18","35","94","97","89","25","18","35"
